,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,dist_from_bway_miles,years_host_since,days_since_first_review,days_since_last_review,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Other,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
5,0.83,1.0,1.0,1.0,1.0,36.133109999999995,-86.77476999999999,2.0,1.0,1.0,1.0,125.0,200.0,0.0,1.0,0.0,2.0,5.0,0.6333333333333333,0.7,0.7555555555555555,0.1863013698630137,113.0,14.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,1.0,1.02,2.009127022802306,9.202105450488375,3330.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,1.0,1.0,2.0,1.0,1.0,36.12523,-86.81278,2.0,1.0,1.0,0.0,55.0,0.0,0.0,1.0,10.0,1.0,730.0,0.43333333333333335,0.6,0.7333333333333333,0.5917808219178082,215.0,104.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.86,3.334910717889618,9.17472638041849,1099.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,0.98,0.0,42.0,1.0,0.0,36.16539,-86.77589,4.0,1.0,1.0,3.0,272.0,0.0,80.0,2.0,0.0,2.0,15.0,0.06666666666666667,0.23333333333333334,0.3888888888888889,0.8328767123287671,34.0,3.0,92.0,10.0,10.0,10.0,9.0,10.0,9.0,0.0,0.0,0.0,0.0,0.36,0.23214147854431305,8.764040329370212,2804.0,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,1.0,1.0,1.0,1.0,1.0,36.1306,-86.80045,4.0,1.0,2.0,2.0,90.0,0.0,25.0,2.0,25.0,2.0,30.0,0.4,0.43333333333333335,0.5,0.7917808219178082,574.0,88.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.69,2.623722859221012,9.166512659397524,3025.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,1.0,0.0,1.0,1.0,1.0,36.13054,-86.78761999999999,8.0,2.0,3.0,3.0,125.0,150.0,85.0,4.0,25.0,1.0,20.0,0.06666666666666667,0.4166666666666667,0.6111111111111112,0.1506849315068493,202.0,66.0,94.0,10.0,10.0,10.0,9.0,10.0,9.0,0.0,0.0,1.0,1.0,2.01,2.3078655033419126,8.323237301245063,3012.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,1.0,1.0,4.0,1.0,1.0,36.19464,-86.67195,2.0,1.0,1.0,1.0,96.0,150.0,35.0,2.0,20.0,30.0,1125.0,0.06666666666666667,0.03333333333333333,0.2222222222222222,0.8082191780821918,50.0,0.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.5,6.146799784670738,8.29312032416819,3008.0,587.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12,1.0,1.0,4.0,1.0,1.0,36.19409,-86.6732,8.0,2.0,3.0,3.0,135.0,250.0,35.0,5.0,20.0,3.0,365.0,0.1,0.06666666666666667,0.05555555555555555,0.7287671232876712,176.0,22.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.93,6.0679498919191195,8.29312032416819,2728.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15,1.0,1.0,6.0,1.0,1.0,36.17641,-86.79845999999999,2.0,1.0,1.0,1.0,55.0,0.0,35.0,1.0,0.0,2.0,14.0,0.06666666666666667,0.15,0.32222222222222224,0.7863013698630137,863.0,110.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,9.35,1.6622242216674485,7.63328473548396,2769.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,0.0,0.0,1.0,1.0,0.0,36.227920000000005,-86.73884,8.0,2.0,3.0,3.0,250.0,500.0,100.0,4.0,20.0,2.0,30.0,0.0,0.0,0.0,0.0,69.0,47.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0.76,4.944895753453968,7.764704271819408,2707.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,1.0,0.0,1.0,1.0,1.0,36.16492,-86.7501,2.0,1.0,1.0,1.0,95.0,0.0,0.0,1.0,20.0,1.0,5.0,0.3,0.5166666666666667,0.6777777777777778,0.736986301369863,211.0,30.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,2.38,1.3709166933421988,7.726373573721569,2656.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
